"verbo","papel"
"adaptar","Agent"
"adejar","Agent"
"adelgaçar","Agent"
"adensar","Agent"
"adequar","Agent"
"adereçar-se1","Agent"
"adereçar1","Agent"
"adergar","Agent"
"aderir","Agent"
"adestrar","Agent"
"adiantar","Agent"
"adicionar","Agent"
"adivinhar","Agent"
"adjudicar","Agent"
"adjutorar","Agent"
"administrar","Agent"
"admitir","Agent"
"admoestar","Agent"
"adoçar","Agent"
"adocicar","Agent"
"adoecer","Agent"
"adoentar","Agent"
"adolescer","Agent"
"adornar","Agent"
"adotar","Agent"
"adquirir","Agent"
"adscrever","Agent"
"adstringir","Agent"
"adubar","Agent"
"adulterar","Agent"
"aduzir","Agent"
"advertir","Agent"
"advogar","Agent"
"afadigar","Agent"
"afagar","Agent"
"afastar","Agent"
"afeiçoar2","Agent"
"aferir","Agent"
"aferrar","Agent"
"aferrolhar","Agent"
"afiambrar","Agent"
"afiar","Agent"
"afilar2","Agent"
"afinar","Agent"
"afirmar","Agent"
"afixar","Agent"
"aflar","Agent"
"afligir","Agent"
"aflorar","Agent"
"afocinhar","Agent"
"afogar1","Agent"
"afoguear","Agent"
"afoitar","Agent"
"aformosear","Agent"
"aforrar1","Agent"
"afracar","Agent"
"afrescar","Agent"
"afretar","Agent"
"afrontar","Agent"
"afrouxar","Agent"
"afundar","Agent"
"afunilar","Agent"
"agachar","Agent"
"agaloar","Agent"
"agarrar","Agent"
"agasalhar","Agent"
"agatanhar","Agent"
"agigantar","Agent"
"agitar","Agent"
"aglomerar","Agent"
"aglutinar","Agent"
"agradar","Agent"
"agradecer","Agent"
"agravar","Agent"
"agredir","Agent"
"agregar","Agent"
"agrilhoar","Agent"
"agrupar","Agent"
"aguçar","Agent"
"aguilhoar","Agent"
"ajaezar","Agent"
"ajanotar","Agent"
"ajeitar","Agent"
"ajoeirar","Agent"
"ajoelhar","Agent"
"ajoujar","Agent"
"ajudar","Agent"
"ajuntar","Agent"
"ajustar","Agent"
"alabarar","Agent"
"alagar","Agent"
"alambrar","Agent"
"alancear","Agent"
"alar","Agent"
"alargar","Agent"
"albergar","Agent"
"alcançar","Agent"
"alçar","Agent"
"alcunhar","Agent"
"alegar","Agent"
"alegrar","Agent"
"aleijar","Agent"
"aleitar","Agent"
"alentar","Agent"
"alentecer","Agent"
"alerdar","Agent"
"alertar","Agent"
"alevantar","Agent"
"alfaiar","Agent"
"algemar","Agent"
"alhanar","Agent"
"aliançar","Agent"
"aliar","Agent"
"alicerçar","Agent"
"aliciar","Agent"
"aligeirar","Agent"
"alijar","Agent"
"alimentar","Agent"
"alimpar","Agent"
"alindar","Agent"
"alinhavar","Agent"
"alisar","Agent"
"alistar","Agent"
"aliviar","Agent"
"aljofrar","Agent"
"almejar","Agent"
"almofadar","Agent"
"aloirar","Agent"
"alojar","Agent"
"alongar","Agent"
"alourar","Agent"
"alquebrar","Agent"
"altear","Agent"
"alterar","Agent"
"alternar","Agent"
"aludir","Agent"
"alugar","Agent"
"aluir","Agent"
"alumbrar","Agent"
"alumiar","Agent"
"alvejar1","Agent"
"alvejar2","Agent"
"alvitrar","Agent"
"alvoroçar","Agent"
"alvorotar","Agent"
"amachucar","Agent"
"amaciar","Agent"
"amadurar","Agent"
"amadurecer","Agent"
"amainar","Agent"
"amalgamar","Agent"
"amamentar","Agent"
"amansar","Agent"
"amarelar","Agent"
"amarelecer","Agent"
"amarfanhar","Agent"
"amarrar","Agent"
"amarrotar","Agent"
"amassar","Agent"
"ambicionar","Agent"
"ambientar","Agent"
"amealhar","Agent"
"ameigar","Agent"
"amenizar","Agent"
"amestrar","Agent"
"amimar","Agent"
"amoedar","Agent"
"amolar","Agent"
"amoldar","Agent"
"amolecer","Agent"
"amolentar","Agent"
"amolgar","Agent"
"amontoar","Agent"
"amoralizar","Agent"
"amordaçar","Agent"
"amornar","Agent"
"amornecer","Agent"
"amortalhar","Agent"
"amortecer","Agent"
"amparar","Agent"
"ampliar","Agent"
"amplificar","Agent"
"amputar","Agent"
"amuar","Agent"
"anaçar","Agent"
"analisar1","Agent"
"anatematizar","Agent"
"ancorar","Agent"
"andar","Agent"
"andarilhar","Agent"
"anelar1","Agent"
"anexar","Agent"
"angariar","Agent"
"aniilar","Agent"
"animar","Agent"
"aniquilar","Agent"
"anoitar","Agent"
"anoitecer","Agent"
"anojar","Agent"
"ansiar","Agent"
"antecipar","Agent"
"antegostar","Agent"
"antegozar","Agent"
"anteparar","Agent"
"antepor","Agent"
"antever","Agent"
"anular","Agent"
"anunciar","Agent"
"apadrinhar","Agent"
"apagar","Agent"
"apalear","Agent"
"apalpar","Agent"
"apanha","Agent"
"apanhar","Agent"
"aparafusar","Agent"
"aparar1","Agent"
"aparatar","Agent"
"aparceirar","Agent"
"aparecer","Agent"
"aparelhar","Agent"
"apartar","Agent"
"apascentar","Agent"
"apaziguar","Agent"
"apear","Agent"
"apelar","Agent"
"apelidar","Agent"
"apensar","Agent"
"aperceber","Agent"
"aperfeiçoar","Agent"
"apertar","Agent"
"apestar","Agent"
"apetecer","Agent"
"apiloar","Agent"
"apinhar","Agent"
"apisoar","Agent"
"aplacar","Agent"
"aplainar","Agent"
"aplanar","Agent"
"aplaudir","Agent"
"aplicar","Agent"
"apodar","Agent"
"apodrecer","Agent"
"apoiar","Agent"
"apontar","Agent"
"apor","Agent"
"aporrear","Agent"
"aportuguesar","Agent"
"aposentar","Agent"
"apostar","Agent"
"apostatar","Agent"
"apostolar","Agent"
"apostolizar","Agent"
"apoteosar","Agent"
"apoucar","Agent"
"apreender","Agent"
"apregoar","Agent"
"aprender","Agent"
"apresar","Agent"
"apresentar","Agent"
"apresilhar","Agent"
"apressar","Agent"
"aprimorar","Agent"
"aprisionar","Agent"
"aprofundar","Agent"
"aprontar","Agent"
"apropositar","Agent"
"apropriar","Agent"
"aprovar","Agent"
"aproveitar","Agent"
"aprovisionar","Agent"
"aproximar","Agent"
"apunhar","Agent"
"apupar","Agent"
"apurar","Agent"
"aquartelar","Agent"
"aquebrantar","Agent"
"aquecer","Agent"
"aquentar","Agent"
"aquietar","Agent"
"aramar","Agent"
"arborizar","Agent"
"ardejar","Agent"
"arder","Agent"
"arear1","Agent"
"arejar","Agent"
"arfar","Agent"
"argamassar","Agent"
"argentear","Agent"
"argumentar","Agent"
"argüir","Agent"
"armar","Agent"
"armazenar","Agent"
"arquear","Agent"
"arquejar1","Agent"
"arquejar2","Agent"
"arquitetar","Agent"
"arquivar","Agent"
"arraigar","Agent"
"arrancar","Agent"
"arranhar","Agent"
"arranjar","Agent"
"arrasar","Agent"
"arrastar","Agent"
"arrazoar","Agent"
"arrear1","Agent"
"arrear2","Agent"
"arrebanhar","Agent"
"arrebatar","Agent"
"arrebentar","Agent"
"arredar","Agent"
"arredondar","Agent"
"arrefecer","Agent"
"arremangar","Agent"
"arrematar","Agent"
"arremessar","Agent"
"arremeter","Agent"
"arrendar1","Agent"
"arrenegar","Agent"
"arrepanhar","Agent"
"arrepelar","Agent"
"arriar","Agent"
"arribar","Agent"
"arrimar","Agent"
"arriscar","Agent"
"arrochar","Agent"
"arrojar","Agent"
"arrolar1","Agent"
"arrolhar","Agent"
"arrombar","Agent"
"arrostar","Agent"
"arrotar","Agent"
"arroxar","Agent"
"arroxear","Agent"
"arruar","Agent"
"arruinar","Agent"
"arrular","Agent"
"arrulhar","Agent"
